district,year,drinking_risk,anomaly_score,ph,tds,co3,hco3,cl,f,no3,so4,na,k,ca,mg,th
Jogulamba(Gadwal),2020,High,-0.23961415028872457,7.59,6079.36,0.0,500.0,2480,0.74,119.583,216.0,732.0,4.7,640.0,457.028,3479.226974
Nalgonda,2018,High,-0.19060896561645446,7.47,3104.0,0.0,582.3434453,950,1.01,420.755,134.0,366.6563255,197.5,184.0,228.514,1399.613487
Nalgonda,2020,High,-0.18423626454412612,7.32,3832.32,0.0,390.0,1630,1.83,5.13764,157.0,730.5,7.7,1.2,311.168,1282.473684
Nalgonda,2018,High,-0.18328310117850388,9.21,2208.0,60.0,970.5889634,370,3.76,134.6416,45.0,696.9715615,52.5,24.0,24.31,159.9588816
Rangareddy,2018,High,-0.18133495434026603,7.56,3110.4,0.0,556.1109258,1050,1.72,44.29,320.0,161.7915062,2.3,488.0,213.928,2099.638158
Rangareddy,2020,High,-0.17245469807880331,8.03,2890.24,0.0,440.0,610,1.04,1028.0,111.25,336.6,354.6,264.0,111.826,1119.810855
Rangareddy,2019,High,-0.16422314044918196,8.48,3558.4,30.0,1050.0,1060,1.12,45.1758,124.0,1051.0,21.4,88.0,87.516,579.8519737
Warangal (R),2019,High,-0.1549667161956414,8.26,2360.96,0.0,370.0,680,0.51,307.2115455,413.0,547.0,221.0,72.0,92.378,559.84375
Nagarkurnool,2020,High,-0.14898627703772138,7.2,3492.48,0.0,530.0,1170,0.39,372.036,81.0,742.0,41.0,272.0,48.62,879.9177632
Khammam,2020,High,-0.14676490600212044,9.04,1673.6,50.0,850.0,170,7.7,59.7915,83.0,560.0,6.5,16.0,4.862,59.99177632
Warangal (R),2018,High,-0.1427416548813757,8.29,2440.96,0.0,340.0,630,0.42,287.2810455,453.0,426.0,132.0,112.0,136.136,839.7697368
Medchal,2020,High,-0.14189951334104633,7.18,2972.16,0.0,310.0,1000,1.3,528.8226,50.0,148.0,5.4,592.0,97.24,1879.835526
Suryapet,2020,High,-0.14038435761909407,7.04,3191.04,0.0,430.0,1270,0.476,165.2017,110.0,464.2,55.2,384.0,116.688,1439.802632
Rangareddy,2019,High,-0.138385878879004,7.9,3526.4,0.0,1050.0,1110,1.84,159.444,45.0,1099.0,29.2,40.0,77.792,419.8684211
Narayanpet,2019,High,-0.12482928177618069,7.5,2784.0,0.0,250.0,870,0.53,643.9766,61.25,283.5,6.9,384.0,116.688,1439.802632
Yadadri,2018,High,-0.12264338029740118,7.27,3481.6,0.0,438.3062545,1500,0.78,167.19475,43.0,597.8544632,6.0,424.0,92.378,1439.84375
Narayanpet,2020,High,-0.11910116669623094,7.78,2933.76,0.0,220.0,990,0.42,520.8504,104.0,391.4,12.3,360.0,111.826,1359.810855
Bhadradri,2020,High,-0.11814698291224501,8.48,2777.6,20.0,800.0,790,1.21,210.20034,46.0,748.1,12.1,8.0,131.274,559.7779605
Nizamabad,2020,High,-0.11589099541251813,7.32,2753.92,0.0,520.0,1060,0.84,69.5353,32.5,208.0,6.2,232.0,262.548,1659.555921
Kamareddy,2018,High,-0.11486426929922033,7.32,2297.6,0.0,552.000145,720,2.98,143.9425,90.0,409.1738344,190.5,112.0,97.24,679.8355263
