year,district,bis_exceedances,drinking_risk,ph,tds,co3,hco3,cl,f,no3,so4,na,k,ca,mg,th,ph_z,tds_z,co3_z,hco3_z,cl_z,f_z,no3_z,so4_z,na_z,k_z,ca_z,mg_z,th_z
2018,Adilabad,2,Moderate,8.28,476.8,0.0,220.0,60,0.44,42.27681818,46.0,49.0,4.0,48.0,38.896,279.9342105,0.9426304887195645,-0.7171592125436675,-0.362572139315519,-0.5978916221752053,-0.6695905463364528,-0.8650879750903975,-0.33668898738834413,0.10613105961663531,-0.6570047503742319,-0.18497859730585045,-0.5532038422229604,-0.3102412403717114,-0.5278808324742367
2018,Adilabad,4,High,8.29,589.44,0.0,230.0,80,0.56,100.6590909,68.0,42.0,5.0,56.0,63.206,399.8930921,0.9645249659130839,-0.5126677867558003,-0.362572139315519,-0.5238507143226923,-0.5698441466801639,-0.711784950375808,0.26264953943534675,0.5130423217050915,-0.718522253816423,-0.13669077495359236,-0.4294315748107875,0.3099787291207577,-0.07318138269463924
2018,Adilabad,2,Moderate,7.69,326.4,0.0,200.0,30,0.66,41.47154545,44.0,45.0,2.0,24.0,38.896,219.9342105,-0.34914366569811167,-0.9902017412945131,-0.362572139315519,-0.7459734378802314,-0.8192101458208861,-0.5840324297803169,-0.3449557257183879,0.06913912669950294,-0.6921576094840554,-0.28155424201036666,-0.924520644459479,-0.3102412403717114,-0.7553084862076793
2018,Adilabad,0,Safe,8.09,270.08,0.0,160.0,10,0.58,10.66986364,35.0,27.0,1.0,32.0,19.448,159.9671053,0.5266354220426861,-1.0924474541884468,-0.362572139315519,-1.0421370692902836,-0.918956545477175,-0.6862344462567099,-0.6611584656876632,-0.09732457142759274,-0.8503454754782611,-0.32984206436262475,-0.8007483770473062,-0.8064172159656867,-0.9826114534880548
2018,Adilabad,7,High,8.21,1485.44,0.0,300.0,340,2.56,128.8436364,280.0,298.0,5.0,56.0,92.378,519.84375,0.7893691483649279,1.1139685547385982,-0.362572139315519,-0.00556435935510106,0.7268590488515914,1.8432654615340138,0.5519853804735901,4.434187210921123,1.5312607292122808,-0.13669077495359236,-0.4294315748107875,1.0542426925117205,0.38148689547169146
2018,Adilabad,5,High,8.29,659.2,0.0,340.0,60,0.61,66.435,43.0,73.0,22.0,80.0,34.034,339.9424342,0.9645249659130839,-0.38602252873945064,-0.362572139315519,0.29059927205495106,-0.6695905463364528,-0.6479086900780625,-0.08868683830829246,0.050643160240936756,-0.4460875957152909,0.6842022050347952,-0.058114772574268836,-0.4342852342702053,-0.30042200712752726
2018,Adilabad,6,High,7.62,1362.56,0.0,340.0,330,0.65,193.2654545,143.0,162.0,13.0,88.0,126.412,739.7861842,-0.5024050060527521,0.890886999333652,-0.362572139315519,0.29059927205495106,0.6769858490234469,-0.596807681839866,1.2133244437973618,1.9002398060975556,0.3360635194782819,0.24961180386447238,0.06565749483790405,1.9225506498011773,1.215170091580493
2018,Adilabad,5,High,8.31,628.48,30.0,210.0,40,1.8,144.9490909,70.0,85.0,5.0,48.0,43.758,299.9259868,1.0083139203001268,-0.44179291759068723,1.5014006229117827,-0.6719325300277184,-0.7693369459927416,0.8723463050082815,0.7173201460478889,0.5500342546222238,-0.3406290183858204,-0.13669077495359236,-0.5532038422229604,-0.1861972464732176,-0.45210278617635596
2018,Adilabad,6,High,8.22,1548.8,0.0,420.0,290,0.53,134.8831818,268.0,321.0,6.0,48.0,97.24,519.8355263,0.8112636255584474,1.2289949817442736,-0.362572139315519,0.8829265348750553,0.4774930497108692,-0.7501107065544553,0.613985917178986,4.212235613418329,1.7333896690937658,-0.08840295260133427,-0.5532038422229604,1.1782866864102142,0.3814557238584246
2018,Bhadradri,0,Safe,8.05,160.0,0.0,57.63929176,30,0.07,24.3595,4.0,10.20021285,3.2,24.0,9.724,99.98355263,0.43905751326860804,-1.2922913475720443,-0.362572139315519,-1.8000250459418647,-0.8192101458208861,-1.3377723012937144,-0.5206239145902075,-0.6706995316431446,-0.9979856131680044,-0.2236088551876569,-0.924520644459479,-1.0545052037626743,-1.209976764260296
