,precision,recall,f1-score,support
C2S1,0.8909090909090909,0.9607843137254902,0.9245283018867925,51.0
C3S1,0.9692307692307692,0.9,0.9333333333333333,140.0
C3S2,0.0,0.0,0.0,2.0
C3S3,0.5,1.0,0.6666666666666666,1.0
C4S1,0.7272727272727273,0.8888888888888888,0.8,18.0
C4S2,0.7777777777777778,0.875,0.8235294117647058,8.0
C4S4,1.0,1.0,1.0,1.0
accuracy,0.9049773755656109,0.9049773755656109,0.9049773755656109,0.9049773755656109
macro avg,0.695027195027195,0.8035247432306256,0.7354368162359284,221.0
weighted avg,0.9137638128588355,0.9049773755656109,0.9071154390211646,221.0
